Scheme Name,Description,Target Beneficiaries,Category
PM Kisan Samman Nidhi,"Income support of 6,000 annually to farmers.",farmers,Agriculture
Ayushman Bharat,Health insurance coverage up to 5 lakh per family per year.,economically weaker sections,Health
PM Mudra Yojana,Collateral-free loans for small businesses.,entrepreneurs ,MSME
Stand-Up India,Loans for SC/ST and women entrepreneurs.,entrepreneurs,Entrepreneurship
PM Awas Yojana,Affordable housing for all by 2024.,economically weaker sections,Housing
Skill India Mission,Vocational training and skill development programs.,working Professionals,Education/Employment
PM Garib Kalyan Ann Yojana,Free food grains for low-income families.,economically weaker sections,Food Security
Beti Bachao Beti Padhao,Promotes education and welfare of the girl child.,social worker,Social Welfare
Digital India,Promotes digital infrastructure and services.,entrepreneurs ,Technology
Jan Dhan Yojana,Financial inclusion through bank accounts.,economically weaker sections,Finance
Make in India,Boosting manufacturing and industrial sectors.,entrepreneurs ,Industrial Development
Startup India,Encouraging entrepreneurship and startups.,entrepreneurs,Entrepreneurship
Swachh Bharat Abhiyan,Clean India campaign for sanitation.,Social Worker,Sanitation
National Rural Health Mission,Improving rural healthcare services.,social worker,Health
Atal Pension Yojana,Pension scheme for unorganized sector workers.,working Professionals,Social Welfare
Pradhan Mantri Suraksha Bima Yojana,Accidental insurance for citizens.,general public,Insurance
Pradhan Mantri Jeevan Jyoti Bima Yojana,Life insurance for citizens.,General public,Insurance
Rashtriya Krishi Vikas Yojana,Boosting agriculture and rural development.,farmers,Agriculture
Kisan Credit Card Scheme,Credit access to farmers for agricultural needs.,farmers,Finance
Mission Indradhanush,Immunization for children and pregnant women.,children and pregnant women,Health
Sarva Shiksha Abhiyan,Universal elementary education.,students,Education
Mid-Day Meal Scheme,Free meals for children in government schools.,students,Education
PMEGP (Prime Minister's Employment Generation Programme),Generating self-employment opportunities.,working Professionals ,Employment
Pradhan Mantri Kaushal Vikas Yojana,Skill certification and employment opportunities.,working Professionals ,Employment
National Social Assistance Programme,"Social welfare for the elderly, disabled, and widows.","elderly, disabled, and widows",Social Welfare
Deen Dayal Upadhyaya Gram Jyoti Yojana,Providing rural electrification.,rural development,Infrastructure
Pradhan Mantri Gram Sadak Yojana,Connecting rural areas with better roads.,rural development,Infrastructure
Integrated Child Development Services (ICDS),Supplementary nutrition for children and mothers.,children and mothers,Nutrition
Rashtriya Bal Swasthya Karyakram,Healthcare services for children under 18.,students,Health
PM Fasal Bima Yojana,Crop insurance for farmers.,farmers,Agriculture
Soil Health Card Scheme,Information on soil nutrient status.,farmers,Agriculture
National Food Security Mission,Ensuring food security through agricultural development.,farmers,Agriculture
Rashtriya Madhyamik Shiksha Abhiyan,Improving secondary education.,ftudents,Education
National Handloom Development Programme,Development of the handloom sector.,working professionals,Handicrafts
PM Ujjwala Yojana,Subsidized LPG connections for poor households.,economically weaker sections,Social Welfare
PM Shram Yogi Maan-Dhan,Pension scheme for unorganized workers.,unorganized workers,Social Welfare
PM Kisan Maandhan Yojana,Pension scheme for small farmers.,farmers,Agriculture
PM Krishi Sinchai Yojana,Irrigation and water resource management.,farmers,Social Welfare
E-Shram Portal,Unified portal for unorganized workers.,working Professionals,Agriculture
Mission for Integrated Development of Horticulture,Development of the horticulture sector., farmers,Education
PM Poshan,Free meals in schools to address malnutrition.,students,Women Empowerment
National Mission on Agricultural Extension and Technology,Extending agricultural technologies to farmers.,farmers,Entrepreneurship
Stand Up India,Financial assistance for entrepreneurs.,entrepreneurs ,Employment
PM SVANidhi Scheme,Micro-credit for street vendors.,entrepreneurs ,
DAY-NRLM (Deendayal Antyodaya Yojana-National Rural Livelihoods Mission),Self-employment programs for rural households.,social worker,
